NameUa	NameRu	OldNameUa	OldNameRu	Suburb
Бессарабська площа	Бессарабская площадь			
Григорія Андрющенка вулиця	Григория Андрющенко улица			
Павлівська вулиця	Павловская улица			
Дмитрівська вулиця	Дмитриевская улица			
Чеховський провулок	Чеховский переулок			
Обсерваторна вулиця	Обсерваторная улица			
Пирогова вулиця	Пирогова улица			
Велика Житомирська вулиця	Большая Житомирская улица			
Володимирський проїзд				
Пейзажна алея	Пейзажная аллея			
Львівська площа	Львовская площадь			
Львівська площа	Львовская площадь			
Кудрявський узвіз	Кудрявский спуск			
Європейська площа	Европейская площадь			
Бессарабська площа	Бессарабская площадь			
Василя Тютюнника вулиця	Василия Тютюнника улица	Анрі Барбюса вулиця	Анри Барбюса улица	
Короленківська вулиця	Короленковская улица			
Зої Гайдай вулиця	Зои Гайдай улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Маршала Тимошенка вулиця	Маршала Тимошенко улица			
Маршала Малиновського вулиця	Маршала Малиновского улица			
Маршала Тимошенка вулиця	Маршала Тимошенко улица			
Маршала Малиновського вулиця	Маршала Малиновского улица			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Мінська площа	Минская площадь			
Мінська площа	Минская площадь			
Сантьяго-де-Чилі площа	Сантьяго-де-Чили площадь			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Олександра Архипенка вулиця	Александра Архипенко улица	Мате Залки вулиця	Мате Залки улица	
Йорданська вулиця	Иорданская улица	Лайоша Гавро вулиця	Лайоша Гавро улица	
Йорданська вулиця	Иорданская улица	Лайоша Гавро вулиця	Лайоша Гавро улица	
Дегтярівська вулиця	Дегтяревская улица			
Новокостянтинівська вулиця	Новоконстантиновская улица			
Покровська вулиця	Покровская улица			
Контрактова площа	Контрактовая площадь			
Андріївська вулиця	Андреевская улица			
Борисоглібська вулиця	Борисоглебская улица			
Петра Сагайдачного вулиця	Петра Сагайдачного улица			
Ігорівська вулиця	Игоревская улица			
Іллінська вулиця	Ильинская улица			
Оленівська вулиця	Еленовская улица			
Нахімова вулиця	Нахимова улица			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Берестецька вулиця	Берестецкая улица			
Дубровицька вулиця	Дубровицкая улица			
Автозаводський провулок	Автозаводской переулок			
Красицького вулиця	Красицкого улица			
Осиповського вулиця	Осиповского улица			
Мукачівська вулиця	Мукачевская улица			
Сокальська вулиця	Сокальская улица			
Маршала Рокосовського проспект	Маршала Рокоссовского проспект			
Коноплянська вулиця	Коноплянская улица			
Шахтарська вулиця	Шахтёрская улица			
Вербова вулиця	Вербовая улица			
Куренівська вулиця	Куреневская улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Копилівська вулиця	Копыловская улица			
Подільський узвіз	Подольский спуск			
Герцена вулиця	Герцена улица			
Печенізька вулиця	Печенежская улица			
Лук’янівська вулиця	Лукьяновская улица			
Шолуденка вулиця	Шолуденко улица			
Кудряшова вулиця	Кудряшова улица			
Митрополита Василя Липківського вулиця	Митрополита Василия Липковского улица	Урицького вулиця	Урицкого улица	
Механізаторів вулиця	Механизаторов улица			
Авіаконструктора Антонова вулиця	Авиаконструктора Антонова улица			
Севастопольська площа	Севастопольская площадь			
Ушинського вулиця	Ушинского улица			
Августина Волошина вулиця		Ярослава Галана вулиця	Ярослава Галана улица	
Відрадний проспект	Отрадный проспект			
Героїв Севастополя вулиця	Героев Севастополя улица			
Генерала Тупикова вулиця	Генерала Тупикова улица			
Смілянська вулиця	Смелянская улица			
Смілянська вулиця	Смелянская улица			
Федора Ернста вулиця	Фёдора Эрнста улица			
Івана Пулюя вулиця	Ивана Пулюя улица			
Народного Ополчення вулиця	Народного Ополчения улица			
Кадетський Гай вулиця	Кадетский Гай улица			
Академіка Білецького вулиця	Академика Белецкого улица			
Авторемонтна вулиця	Авторемонтная улица			
Героїв Севастополя вулиця	Героев Севастополя улица			
Радищева провулок	Радищева переулок			
Миколи Шпака вулиця	Николая Шпака улица			
Миколи Шпака вулиця	Николая Шпака улица			
Петра Нестерова вулиця	Петра Нестерова улица			
Оранжерейна вулиця	Оранжерейная улица			
Щусєва вулиця	Щусева улица			
Корабельна вулиця	Корабельная улица			
Вокзальна площа	Вокзальная площадь			
Ползунова вулиця	Ползунова улица			
Георгія Кірпи вулиця	Георгия Кирпы улица			
Івана Огієнка вулиця	Ивана Огиенко улица	Миколи Лукашевича вулиця	Николая Лукашевича улица	
Політехнічний провулок	Политехнический переулок			
Сім’ї Шовкоплясів вулиця	Семьи Шовкоплясов улица	Павла Дибенка вулиця	Павла Дыбенко улица	
Лебединська вулиця	Лебединская улица			
Кемеровська вулиця	Кемеровская улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Богатирська вулиця	Богатырская улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Озерна вулиця	Озёрная улица			
Озерна вулиця	Озёрная улица			Оболонь
Петра Калнишевського вулиця	Петра Калнышевского улица	Михайла Майорова вулиця	Михаила Майорова улица	
Маршала Гречка вулиця	Маршала Гречко улица			
Маршала Гречка вулиця	Маршала Гречко улица			
Правди проспект	Правды проспект			
Георгія Гонгадзе проспект	Георгия Гонгадзе проспект			
Георгія Гонгадзе проспект	Георгия Гонгадзе проспект			
Правди проспект	Правды проспект			
Правди проспект	Правды проспект			
Правди проспект	Правды проспект			
Полкова вулиця	Полковая улица			
Полковий провулок	Полковой переулок			
Салютна вулиця	Салютная улица			
Естонська вулиця	Эстонская улица			
Валерія Марченка площа		Інтернаціональна площа	Интернациональная площадь	
Валерія Марченка площа		Інтернаціональна площа	Интернациональная площадь	
Валерія Марченка площа		Інтернаціональна площа	Интернациональная площадь	
Стеценка вулиця	Стеценко улица			
Нова дорога	Новая дорога			
Леоніда Телятникова площа	Леонида Телятникова площадь			
Леоніда Телятникова площа	Леонида Телятникова площадь			
Вербова вулиця	Вербовая улица			
Академіка Навашина вулиця	Академика Навашина улица			
Анни Ахматової вулиця	Анны Ахматовой улица			
Тростянецька вулиця	Тростянецкая улица			
Ревуцького вулиця	Ревуцкого улица			
Ревуцького вулиця	Ревуцкого улица			
Архітектора Вербицького вулиця	Архитектора Вербицкого улица			
Архітектора Вербицького вулиця	Архитектора Вербицкого улица			
Декабристів вулиця	Декабристов улица			
Михайла Гришка вулиця	Михаила Гришко улица			
Олександра Мишуги вулиця	Александра Мишуги улица			
Лариси Руденко вулиця	Ларисы Руденко улица			
Михайла Гришка вулиця	Михаила Гришко улица			
Срібнокільська вулиця	Срибнокольская улица			
Княжий Затон вулиця	Княжий Затон улица			
Вишняківська вулиця	Вишняковская улица			
Клеманська вулиця	Клеманская улица			
Причальна вулиця	Причальная улица			
Дніпровська набережна	Днепровская набережная			
Дніпровська набережна	Днепровская набережная			
Юрія Шумського вулиця	Юрия Шумского улица			
Павла Тичини проспект	Павла Тычины проспект			
Павла Тичини проспект	Павла Тычины проспект			
Амвросія Бучми вулиця	Амвросия Бучмы улица			
Івана Миколайчука вулиця	Ивана Миколайчука улица	Серафимовича вулиця	Серафимовича улица	
Дніпровська набережна	Днепровская набережная			
Євгена Сверстюка вулиця	Евгения Сверстюка улица			
Євгена Сверстюка вулиця	Евгения Сверстюка улица	Марини Раскової вулиця	Марины Расковой улица	
Броварський проспект	Броварской проспект			
Євгена Сверстюка вулиця	Евгения Сверстюка улица	Марини Раскової вулиця	Марины Расковой улица	
Євгена Сверстюка вулиця	Евгения Сверстюка улица			
Березняківська вулиця	Березняковская улица			
Генерала Жмаченка вулиця	Генерала Жмаченко улица			
Верховної Ради бульвар	Верховной Рады бульвар			
Верховної Ради бульвар	Верховной Рады бульвар			
Дарницька площа	Дарницкая площадь	Ленінградська площа	Ленинградская площадь	
Празька вулиця	Пражская улица			
Володимира Сосюри вулиця	Владимира Сосюры улица			
Попудренка вулиця	Попудренко улица			
Червоноткацька вулиця	Красноткацкая улица			
Верховної Ради бульвар	Верховной Рады бульвар			
Бориспільська вулиця	Бориспольская улица			
Славгородська вулиця	Славгородская улица			
Російська вулиця	Российская улица			
Михайла Кравчука вулиця	Михаила Кравчука улица			
Ревуцького вулиця	Ревуцкого улица			
Дарницька площа	Дарницкая площадь	Ленінградська площа	Ленинградская площадь	
Дарницька площа	Дарницкая площадь	Ленінградська площа	Ленинградская площадь	
Дарницька площа	Дарницкая площадь	Ленінградська площа	Ленинградская площадь	
Зарічна вулиця	Заречная улица			
Петра Григоренка проспект	Петра Григоренко проспект			
Братиславська вулиця	Братиславская улица			
Братиславська вулиця				
Щусєва вулиця	Щусева улица			
Академіка Щусєва вулиця	Академика Щусева улица			
Щусєва вулиця	Щусева улица			
Гарматна вулиця	Гарматная улица			
Сім’ї Сосніних вулиця	Семьи Сосниных улица			
Якутська вулиця	Якутская улица			
Жолудєва вулиця	Жолудева улица			
Булгакова вулиця	Булгакова улица			
Симиренка вулиця	Симиренко улица			
Миколи Трублаїні вулиця	Николая Трублаини улица			
Синьоозерна вулиця	Синеозерная улица			
Газопровідна вулиця	Газопроводная улица			
Мілютенка вулиця				
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Оболонський проспект	Оболонский проспект			
Єрмака вулиця	Ермака улица			
Ганни Барвінок вулиця	Анны Барвинок улица			
Петра Вершигори вулиця	Петра Вершигоры улица			
Електротехнічна вулиця	Электротехническая улица			
Пухівська вулиця	Пуховская улица			
Пухівська вулиця	Пуховская улица			
Мостищанська вулиця				
Вокзальна площа	Вокзальная площадь			
Флоренції вулиця	Флоренции улица			
Ованеса Туманяна вулиця	Ованеса Туманяна улица			
Ентузіастів вулиця	Энтузиастов улица			
Ігоря Шамо бульвар	Игоря Шамо бульвар	Олексія Давидова бульвар	Алексея Давыдова бульвар	
Ігоря Шамо бульвар	Игоря Шамо бульвар	Олексія Давидова бульвар	Алексея Давыдова бульвар	
Раїси Окіпної вулиця	Раисы Окипной улица			
Раїси Окіпної вулиця	Раисы Окипной улица			
Русанівська набережна	Русановская набережная			
Павла Тичини проспект	Павла Тычины проспект			
Березняківська вулиця	Березняковская улица			
Березняківська вулиця	Березняковская улица			
Березняківська вулиця	Березняковская улица			
Березняківська вулиця	Березняковская улица			
Юрія Шумського вулиця	Юрия Шумского улица			
Березняківська вулиця	Березняковская улица			
Березняківська вулиця	Березняковская улица			
Березняківська вулиця	Березняковская улица			
Юрія Шумського вулиця	Юрия Шумского улица			
Павла Тичини проспект	Павла Тычины проспект			
Павла Тичини проспект	Павла Тычины проспект			
Юрія Шумського вулиця	Юрия Шумского улица			
Дніпровська набережна	Днепровская набережная			
Русанівський бульвар	Русановский бульвар			
Русанівський бульвар	Русановский бульвар			
Плєханова вулиця	Плеханова улица			
Микільсько-Слобідська вулиця	Никольско-Слободская улица			
Соборності проспект	Соборности проспект	Возз’єднання проспект		
Євгена Сверстюка вулиця	Евгения Сверстюка улица	Марини Раскової вулиця	Марины Расковой улица	
Митрополита Андрея Шептицького вулиця	Митрополита Андрея Шептицкого улица	Анатолія Луначарського вулиця	Анатолия Луначарского улица	
Каховська вулиця	Каховская улица			
Панельна вулиця	Панельная улица			
Челябінська вулиця	Челябинская улица			
Митрополита Андрея Шептицького вулиця	Митрополита Андрея Шептицкого улица	Анатолія Луначарського вулиця	Анатолия Луначарского улица	
Митрополита Андрея Шептицького вулиця	Митрополита Андрея Шептицкого улица	Анатолія Луначарського вулиця	Анатолия Луначарского улица	
Челябінська вулиця	Челябинская улица			
Всеволода Нестайка вулиця	Всеволода Нестайко улица	Олександра Мильчакова вулиця	Александра Мильчакова улица	
Микільсько-Слобідська вулиця	Никольско-Слободская улица			
Микільсько-Слобідська вулиця	Никольско-Слободская улица			
Івана Миколайчука вулиця	Ивана Миколайчука улица	Серафимовича вулиця	Серафимовича улица	
Митрополита Андрея Шептицького вулиця	Митрополита Андрея Шептицкого улица	Анатолія Луначарського вулиця	Анатолия Луначарского улица	
Раїси Окіпної вулиця	Раисы Окипной улица			
Панельна вулиця	Панельная улица			
Шовковична вулиця	Шелковичная улица			
Лаврська вулиця	Лаврская улица	Січневого повстання вулиця	Январского восстания улица	
Маршала Тимошенка вулиця	Маршала Тимошенко улица			
Маршала Тимошенка вулиця	Маршала Тимошенко улица			
Андріївський узвіз	Андреевский спуск			
Костянтинівська вулиця	Константиновская улица			
Хорива провулок	Хорива переулок			
Хорива вулиця	Хорива улица			
Пушкінська вулиця	Пушкинская улица			
Нижній Вал вулиця	Нижний Вал улица			
Притисько-Микільська вулиця	Притиско-Никольская улица			
Кловський узвіз	Кловский спуск			
Шота Руставелі вулиця	Шота Руставели улица			
Антоновича вулиця	Антоновича улица	Горького вулиця	Горького улица	
