NameUa	NameRu	OldNameUa	OldNameRu	Suburb
Василя Яна вулиця	Василия Яна улица			
Столичне шосе	Столичное шоссе			
Кільцева дорога	Кольцевая дорога			
Кільцева дорога	Кольцевая дорога			
Кільцева дорога	Кольцевая дорога			
Гната Хоткевича провулок	Гната Хоткевича переулок	Червоногвардійський провулок	Красногвардейский переулок	
Віскозна вулиця	Вискозная улица			
Академіка Бутлерова вулиця	Академика Бутлерова улица			
Чеська вулиця	Чешская улица			
Саперне Поле вулиця	Сапёрное Поле улица			
Саперне Поле вулиця	Сапёрное Поле улица			
Авіаконструктора Антонова вулиця	Авиаконструктора Антонова улица			
Авіаконструктора Антонова вулиця	Авиаконструктора Антонова улица			
Академіка Філатова вулиця	Академика Филатова улица			
Військовий проїзд	Военный проезд			
Остапа Вишні вулиця	Остапа Вишни улица			
Військовий проїзд	Военный проезд			
Петра Григоренка проспект	Петра Григоренко проспект			
Петра Григоренка проспект	Петра Григоренко проспект			
Визволителів проспект	Освободителей проспект			
Визволителів проспект	Освободителей проспект			
Сулеймана Стальського вулиця	Сулеймана Стальского улица			
Алішера Навої проспект	Алишера Навои проспект			
Івана Микитенка вулиця	Ивана Никитенко улица			
Старосільська вулиця	Старосельская улица			
Валентина Сєрова вулиця	Валентина Серова улица			
Соборності проспект	Соборности проспект	Возз’єднання проспект		
Соборності проспект	Соборности проспект	Возз’єднання проспект		
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Руслана Лужевського провулок	Руслана Лужевского переулок	Червоноармійський провулок	Красноармейский переулок	
Івана Сергієнка вулиця	Ивана Сергиенка улица			
Попудренка вулиця	Попудренко улица			
Верховної Ради бульвар	Верховной Рады бульвар			
Юрія Гагаріна проспект	Юрия Гагарина проспект			
Академіка Стражеска вулиця	Академика Стражеско улица			
Академіка Стражеска вулиця	Академика Стражеско улица			
Західна вулиця	Западная улица			
Володимира Сосюри вулиця	Владимира Сосюры улица			
Щепкіна вулиця	Щепкина улица			
Профспілкова вулиця	Профсоюзная улица			
Люботинська вулиця	Люботинская улица			
Новаторів вулиця	Новаторов улица			
Трактористів вулиця	Трактористов улица			
Сиваська вулиця	Сивашская улица			
Гродненський провулок	Гродненский переулок			
Василя Сухенка провулок		Бакинських Комісарів провулок	Бакинских Комиссаров переулок	
Профспілковий провулок	Профсоюзный переулок			
Микешина вулиця	Микешина улица			
Бишівський провулок	Бышевский переулок			
Новаторів провулок	Новаторов переулок			
Люботинський провулок	Люботинский переулок			
Сновська вулиця	Сновская улица			
Сновський провулок	Сновский переулок			
Станюковича вулиця	Станюковича улица			
Велике коло	Большой круг			
Метрологічна вулиця	Метрологическая улица			
Фізкультури провулок	Физкультуры переулок			
Устима Кармелюка вулиця	Устима Кармелюка улица			
Лохвицька вулиця	Лохвицкая улица			
Устима Кармелюка вулиця	Устима Кармелюка улица			
Сиваська вулиця	Сивашская улица			
Хорольський провулок	Хорольский переулок			
Двінська вулиця	Двинская улица			
Устима Кармелюка провулок	Устима Кармелюка переулок			
Краснокутський провулок	Краснокутский переулок			
Казимира Малевича вулиця	Казимира Малевича улица	Боженка вулиця	Боженко улица	
Ушицька вулиця	Ушицкая улица			
Набережно-Хрещатицька вулиця	Набережно-Крещатицкая улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Оболонський проспект	Оболонский проспект			
Електриків вулиця	Электриков улица			
Гаванська вулиця	Гаванская улица			
Чорноморська вулиця	Черноморская улица			
Аляб’єва вулиця	Алябьева улица			
Гаванський провулок	Гаванский переулок			
Тульчинська вулиця	Тульчинская улица			
Миколи Садовського вулиця	Николая Садовского улица			
Сирецька вулиця	Сырецкая улица			
Семена Скляренка вулиця	Семёна Скляренко улица			
Семена Скляренка вулиця	Семёна Скляренко улица			
Фруктова вулиця	Фруктовая улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Олени Теліги вулиця	Елены Телиги улица			
Достоєвського вулиця	Достоевского улица			
Рясний провулок	Рясный переулок			
Верболозний провулок	Верболозный переулок			
Верболозний провулок	Верболозный переулок			
Тагільський провулок	Тагильский переулок			
Веселковий провулок	Радужный переулок			
Шполянська вулиця	Шполянская улица			
Олени Теліги вулиця	Елены Телиги улица			
Новокостянтинівська вулиця	Новоконстантиновская улица			
Білицька вулиця	Белицкая улица			
Розважівський провулок	Разважевский переулок			
Автозаводська вулиця	Автозаводская улица			
Дружби вулиця	Дружбы улица			
Високовольтний провулок	Высоковольтный переулок			
Лугова вулиця	Луговая улица			Бортничі
Кирила Осьмака вулиця	Кирилла Осьмака улица	Горького вулиця	Горького улица	
Мостова вулиця	Мостовая улица			Бортничі
Левітана вулиця	Левитана улица			
Карла Маркса вулиця	Карла Маркса улица			Бортничі
Челюскінців вулиця	Челюскинцев улица			
Гречаний провулок	Гречаный переулок	Котовського провулок	Котовского переулок	
Пасічна вулиця	Пасечная улица	Котовського вулиця	Котовского улица	
Луговий провулок	Луговой переулок			
Заплавна вулиця	Заплавная улица	Червоноармійська вулиця	Красноармейская улица	
Енгельса вулиця	Энгельса улица			
Вуликова вулиця	Уликовая улица	Калініна вулиця	Калинина улица	
Медоносна вулиця	Медоносная улица	Свердлова вулиця	Свердлова улица	
Трипільська вулиця	Трипольская улица	Комуністична вулиця	Коммунистическая улица	
Лютнева вулиця	Февральская улица			Бортничі
Нектарна вулиця	Нектарная улица	Комсомольська вулиця	Комсомольская улица	
1-го Травня вулиця	1-го Мая улица			
2-й Бортницький провулок	2-й Бортницкий переулок			
Колекторна вулиця	Коллекторная улица			
Колекторна вулиця	Коллекторная улица			
Кронштадтська вулиця	Кронштадтская улица			
Павла Скоропадського вулиця	Павла Скоропадского улица			
Кронштадтська вулиця	Кронштадтская улица			
Горлівська вулиця	Горловская улица			
Анни Ахматової вулиця	Анны Ахматовой улица			
Георгія Гонгадзе проспект	Георгия Гонгадзе проспект			
Василя Порика вулиця	Василия Порика улица			
Золочівський провулок	Золочевский переулок			
Свободи проспект	Свободы проспект			
Биківський провулок	Быковский переулок			
Велика Кільцева дорога	Большая Кольцевая дорога			
Сім’ї Сосніних вулиця	Семьи Сосниных улица			
Зарічна вулиця				
Литвиненко-Вольгемут вулиця	Литвиненко-Вольгемут улица			
Дружби Народів бульвар	Дружбы Народов бульвар			
Володимира Покотила вулиця	Владимира Покотило улица	Картвелішвілі вулиця	Картвелишвили улица	
Акацієвий провулок	Акациевый переулок	Свердлова провулок	Свердлова переулок	
Прополісний провулок	Прополисный переулок	Комсомольський провулок	Комсомольский переулок	
1-й Дружби провулок	1-й Дружбы переулок			
1-й Дружби провулок	1-й Дружбы переулок			
Бортницька вулиця	Бортницкая улица			
Бортницька вулиця	Бортницкая улица			
1-й Бортницький провулок	1-й Бортницкий переулок			
Бортницька вулиця	Бортницкая улица			
Автотранспортна вулиця	Автотранспортная улица			
Тургенєва провулок	Тургенева переулок			
Промисловий провулок	Промышленный переулок			
1-й Лермонтова провулок	1-й Лермонтова переулок			
2-й Лермонтова провулок	2-й Лермонтова переулок			
Правди проспект	Правды проспект			
Правди проспект	Правды проспект			
Високовольтний провулок	Высоковольтный переулок			
Фрунзе вулиця	Фрунзе улица			Бортничі
Озерна вулиця	Озёрная улица			Бортничі
Озерний провулок	Озёрный переулок			
Демидівська вулиця	Демидовская улица			
Садова вулиця	Садовая улица			Бортничі
Леоніли Заглади вулиця	Леонилы Заглады улица	Чапаєва вулиця	Чапаева улица	Бортничі
Чкалова вулиця	Чкалова улица			
Високовольтний провулок	Высоковольтный переулок			
Науки проспект	Науки проспект			
Новопирогівська вулиця	Новопироговская улица			
Чорнобильська вулиця	Чернобыльская улица			
Горлівська вулиця	Горловская улица			
Лугова вулиця	Луговая улица			
Лугова вулиця	Луговая улица			
Лугова вулиця	Луговая улица			
Маршала Малиновського вулиця	Маршала Малиновского улица			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Оболонський проспект	Оболонский проспект			
Добринінська вулиця	Добрынинская улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Оболонський проспект	Оболонский проспект			
Приозерна вулиця	Приозёрная улица			
Степана Бандери проспект	Степана Бандеры проспект	Московський проспект	Московский проспект	
Оболонський проспект	Оболонский проспект			
Вербова вулиця	Вербовая улица			
Оболонський проспект	Оболонский проспект			
Маршала Тимошенка вулиця	Маршала Тимошенко улица			
Північна вулиця	Северная улица			
Північна вулиця	Северная улица			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Героїв Сталінграда проспект	Героев Сталинграда проспект			
Маршала Малиновського вулиця	Маршала Малиновского улица			
Оболонський проспект	Оболонский проспект			
Мінська площа	Минская площадь			
Мінська площа	Минская площадь			
Анни Ярославни вулиця	Анны Ярославны улица	Фадєєва вулиця	Фадеева улица	
Павленка провулок	Павленко переулок			
Валі Котика вулиця	Вали Котика улица			
Дмитра Яворницького вулиця	Дмитрия Яворницкого улица	Коллонтай вулиця	Коллонтай улица	
Павленка вулиця	Павленко улица			
Крушельницького вулиця	Крушельницкого улица			
Обухівська вулиця	Обуховская улица			
Володимира Шульгина вулиця	Владимира Шульгина улица	Івана Федька вулиця	Ивана Федько улица	
Газопровідна вулиця	Газопроводная улица			
Віктора Дубровського провулок	Виктора Дубровского переулок	Бонч-Бруєвича провулок	Бонч-Бруевича переулок	
Обухівська вулиця	Обуховская улица			
Маршака вулиця	Маршака улица			
Володимира Дурдуківського вулиця	Владимира Дурдуковского улиця	Бонч-Бруєвича вулиця	Бонч-Бруевича улица	
Обухівська вулиця	Обуховская улица			
Осінній провулок	Осенний переулок	Володимира Ульянова провулок	Владимира Ульянова переулок	
Лугова вулиця	Луговая улица			
Лугова вулиця	Луговая улица			
Богатирська вулиця	Богатырская улица			
Богатирська вулиця	Богатырская улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Богатирська вулиця	Богатырская улица			
Героїв Дніпра вулиця	Героев Днепра улица			
Васильківський провулок	Васильковский переулок			
Тихорєцька вулиця	Тихорецкая улица			
Хотівська вулиця	Хотовская улица			
П’ятигорський провулок	Пятигорский переулок			
Хутоярівський провулок	Хутояровский переулок			
Бурмистенка провулок	Бурмистенко переулок			
Балакирева вулиця	Балакирева улица			
Гвардійська вулиця	Гвардейская улица			
Москвіна провулок	Москвина переулок			
Нікопольська вулиця	Никопольская улица			
Римського-Корсакова вулиця	Римского-Корсакова улица			
Сквирський провулок	Сквирский переулок			
Тихорєцька вулиця	Тихорецкая улица			
Щоглівський провулок	Щегловский переулок			
Козацький провулок	Казацкий переулок			
Москвіна вулиця	Москвина улица			
Генерала Доватора провулок	Генерала Доватора переулок			
Гатна вулиця	Гатная улица			
Професора Буйка вулиця	Профессора Буйко улица			
Гористий провулок	Гористый переулок			
Криворізька вулиця	Криворожская улица			
Козацький провулок	Казацкий переулок			
Сквирська вулиця	Сквирская улица			
Гориста вулиця	Гористая улица			
Михайла Стельмаха вулиця	Михаила Стельмаха улица			
Ужгородська вулиця	Ужгородская улица			
Петропавлівська вулиця	Петропавловская улица			
Дорогожицька вулиця	Дорогожицкая улица			
Архимедка				
Академіка Палладіна проспект	Академика Палладина проспект			
Паркова вулиця	Парковая улица			
Європейська площа	Европейская площадь			
Михайла Грушевського вулиця	Михаила Грушевского улица			
Михайла Грушевського вулиця	Михаила Грушевского улица			
Музейний провулок	Музейный переулок			
Михайлівська площа	Михайловская площадь			
майдан Незалежності	площадь Независимости			
Сім'ї Прахових вулиця	Семьи Праховых улица			
Наталії Ужвій вулиця	Натальи Ужвий улица			
Правди проспект	Правды проспект			
Правди проспект	Правды проспект			
Байкова вулиця	Байковая улица			
Льва Толстого вулиця	Льва Толстого улица			
Івана Федорова вулиця	Ивана Фёдорова улица			
Льва Толстого вулиця	Льва Толстого улица			
Івана Федорова вулиця	Ивана Фёдорова улица			
Малоземельна вулиця				
Малоземельна вулиця				
Малоземельна вулиця				
66-а Садова вулиця	66-я Садовая улица			
67-а Садова вулиця	67-я Садовая улица			
191-а Садова вулиця	191-я Садовая улица			
137-а Садова вулиця	137-я Садовая улица			
49А Садова вулиця	49А Садовая улица			
52-а Садова вулиця	52-я Садовая улица			
49А Садова вулиця	49А Садовая улица			
73-я Садова вулиця	73-я Садовая улица			
Орхідейна вулиця	Орхидейная улица			
137-а Садова вулиця	137-я Садовая улица			
50-а Садова вулиця	50-я Садовая улица			
50-а Садова вулиця	50-я Садовая улица			
136-а Садова вулиця	136-я Садовая улица			
Дніпровська набережна	Днепровская набережная			
Завальна вулиця	Завальная улица			
50А Садова вулиця	50А Садовая улица			
193-я Садова вулиця	193-я Садовая улица			
138-а Садова вулиця	138-я Садовая улица			
192-а Садова вулиця	192-я Садовая улица			
Центральна вулиця	Центральная улица			
191-а Садова вулиця	191-я Садовая улица			
52-а Садова вулиця	52-я Садовая улица			
49-а Садова вулиця	49-я Садовая улица			
Західно-кільцева вулиця	Западно-кольцевая улица			
139-а Садова вулиця	139-я Садовая улица			
65-а Садова вулиця	65-я Садовая улица			
49А Садова вулиця	49А Садовая улица			
192-а Садова вулиця	192-я Садовая улица			
53-я Садова вулиця	53-я Садовая улица			
Дніпровська набережна	Днепровская набережная			
49-а Садова вулиця	49-я Садовая улица			
135-а Садова вулиця	135-я Садовая улица			
Завальна вулиця	Завальная улица			
Горлівська вулиця	Горловская улица			
Чорнобильська вулиця	Чернобыльская улица			
Чорнобильська вулиця	Чернобыльская улица			
Бучанська вулиця	Бучанская улица	Михайла Коцюбинського вулиця	Михаила Коцюбинского улица	
Михайла Свєтлова вулиця	Михаила Светлова улица			
3-й Маршака провулок	3-й Маршака переулок			
Чорнобильська вулиця	Чернобыльская улица			
Чорнобильська вулиця	Чернобыльская улица			
Патріарха Володимира Романюка вулиця	Патриарха Владимира Романюка улица	Жовтнева вулиця	Октябрьская улица	
Патріарха Володимира Романюка вулиця	Патриарха Владимира Романюка улица	Жовтнева вулиця	Октябрьская улица	
Раїси Букіної вулиця	Раисы Букиной улица			
Шкільна вулиця	Школьная улица			Біличі
Раїси Букіної провулок	Раисы Букиной переулок			
Мальовнича вулиця	Живописная улица			
Купріна вулиця	Куприна улица			
Раїси Букіної провулок	Раисы Букиной переулок			
51-а Садова вулиця	51-я Садовая улица			
Садова вулиця	Садовая улица			
162-а Садова вулиця	162-я Садовая улица			
50А Садова вулиця	50А Садовая улица			
52-а Садова вулиця	52-я Садовая улица			
Волинська вулиця	Волынская улица			
Волинська вулиця	Волынская улица			
Рейтарська вулиця	Рейтарская улица			
Рейтарська вулиця	Рейтарская улица			
Івана Франка вулиця	Ивана Франко улица			
Юрія Поправки вулиця		Миколи Лебедєва вулиця	Николая Лебедева улица	
Гната Хоткевича вулиця	Гната Хоткевича улица	Червоногвардійська вулиця	Красногвардейская улица	
Гната Хоткевича вулиця	Гната Хоткевича улица	Червоногвардійська вулиця	Красногвардейская улица	
Червоноткацька вулиця	Красноткацкая улица			
Червоноткацька вулиця	Красноткацкая улица			
Юрія Поправки вулиця		Миколи Лебедєва вулиця	Николая Лебедева улица	
Карельський провулок	Карельский переулок			
Ямська вулиця	Ямская улица			
Байкова вулиця	Байковая улица			
Байкова вулиця	Байковая улица			
Ямська вулиця	Ямская улица			
Лариси Руденко вулиця	Ларисы Руденко улица			
Миколи Бажана проспект	Николая Бажана проспект			
Миколи Бажана проспект	Николая Бажана проспект			
Миколи Бажана проспект	Николая Бажана проспект			
Лариси Руденко вулиця	Ларисы Руденко улица			
Петра Григоренка проспект	Петра Григоренко проспект			
Петра Григоренка проспект	Петра Григоренко проспект			
Гусовського вулиця	Гусовского улица			
Рибальська вулиця	Рыбальская улица			
Рибальська вулиця	Рыбальская улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
Дмитрівська вулиця	Дмитриевская улица			
Дмитрівська вулиця	Дмитриевская улица			
Коперника вулиця	Коперника улица			
Шолуденка вулиця	Шолуденко улица			
Шолуденка вулиця	Шолуденко улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
Дмитрівська вулиця	Дмитриевская улица			
Дмитрівська вулиця	Дмитриевская улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
Дмитрівська вулиця	Дмитриевская улица			
Дмитрівська вулиця	Дмитриевская улица			
Вільгельма Котарбінського вулиця	Вильгельма Котарбинского улица	Миколи Кравченка вулиця	Николая Кравченко улица	
Дмитрівська вулиця	Дмитриевская улица			
Вільгельма Котарбінського вулиця	Вильгельма Котарбинского улица	Миколи Кравченка вулиця	Николая Кравченко улица	
Стрілецька вулиця	Стрелецкая улица			
Стрітенська вулиця	Стретенская улица			
Олеся Гончара вулиця	Олеся Гончара улица			
Олеся Гончара вулиця	Олеся Гончара улица			
Олеся Гончара вулиця	Олеся Гончара улица			
Олеся Гончара вулиця	Олеся Гончара улица			
Стрітенська вулиця	Стретенская улица			
Михайла Стельмаха вулиця	Михаила Стельмаха улица			
Голосіївський проспект	Голосеевский проспект	40-річчя Жовтня проспект	40-летия Октября проспект	
Голосіївський проспект	Голосеевский проспект	40-річчя Жовтня проспект	40-летия Октября проспект	
Листопадна вулиця	Листопадная улица			
Снайперська вулиця	Снайперская улица			
Михайла Стельмаха вулиця	Михаила Стельмаха улица			
Красилівська вулиця	Красиловская улица			
Добрий Шлях вулиця	Добрый Путь улица			
Водогінна вулиця	Водопроводная улица			
Добрий Шлях вулиця	Добрый Путь улица			
Івана Піддубного вулиця	Ивана Поддубного улица			
Кар’єрна вулиця	Карьерная улица			
Івана Піддубного вулиця	Ивана Поддубного улица			
Чернишевського вулиця	Чернышевского улица			
Чернишевського вулиця	Чернышевского улица			
Кар’єрна вулиця	Карьерная улица			
Кар’єрна вулиця	Карьерная улица			
98-а Садова вулиця	98-я Садовая улица			
К. Арефьєва вулиця	К. Арефьева улица			
Підлипка вулиця	Подлипко улица			
Олени Пчілки вулиця	Елены Пчилки улица			
Стратегічний провулок	Стратегический переулок			
Нововокзальна вулиця	Нововокзальная улица			
Лабораторна вулиця	Лабораторная улица			
Лабораторна вулиця	Лабораторная улица			
Миколи Грінченка вулиця	Николая Гринченко улица			
Володимира Брожка вулиця	Владимира Брожко улица	Кіровоградська вулиця	Кировоградская улица	
Миколи Грінченка вулиця	Николая Гринченко улица			
Миколи Грінченка вулиця	Николая Гринченко улица			
Байкова вулиця	Байковая улица			
Байкова вулиця	Байковая улица			
Байкова вулиця	Байковая улица			
Науки проспект	Науки проспект			
Науки проспект	Науки проспект			
Науки проспект	Науки проспект			
Миколи Грінченка вулиця	Николая Гринченко улица			
Казимира Малевича вулиця	Казимира Малевича улица	Боженка вулиця	Боженко улица	
Казимира Малевича вулиця	Казимира Малевича улица	Боженка вулиця	Боженко улица	
Голосіївський проспект	Голосеевский проспект	40-річчя Жовтня проспект	40-летия Октября проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Володимира Брожка вулиця	Владимира Брожко улица	Кіровоградська вулиця	Кировоградская улица	
Деміївська вулиця	Демеевская улица			
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Колоскова вулиця				
Робоча вулиця	Рабочая улица			
Шкільна вулиця	Школьная улица			Жуляни
Медична вулиця	Медицинская улица			
Карла Маркса вулиця	Карла Маркса улица			Жуляни
Стадіонна вулиця	Стадионная улица			Жуляни
Совська вулиця	Совская улица			
Нова вулиця	Новая улица			Жуляни
Повітрофлотська вулиця	Воздухофлотская улица			
Медова вулиця	Медовая улица			
Медова вулиця	Медовая улица			
Медова вулиця	Медовая улица			
Медова вулиця	Медовая улица			
Космонавта Комарова проспект	Космонавта Комарова проспект			
Космонавта Комарова проспект	Космонавта Комарова проспект			
Академіка Каблукова вулиця	Академика Каблукова улица			
Василя Чумака вулиця	Василия Чумака улица			
Маршала Якубовського вулиця	Маршала Якубовского улица			
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Володимира Брожка вулиця	Владимира Брожко улица	Кіровоградська вулиця	Кировоградская улица	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Бориса Гаріна вулиця	Бориса Гарина улица			
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Володимира Брожка вулиця	Владимира Брожко улица	Кіровоградська вулиця	Кировоградская улица	
Оборонна вулиця	Оборонная улица			
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Валерія Лобановського проспект	Валерия Лобановского проспект	Червонозоряний проспект	Краснозвёздный проспект	
Володимира Брожка вулиця	Владимира Брожко улица	Кіровоградська вулиця	Кировоградская улица	
Нова дорога	Новая дорога			
Повітрофлотський проспект	Воздухофлотский проспект			
Василя Касіяна вулиця	Василия Касияна улица			
Василя Касіяна вулиця	Василия Касияна улица			
Академіка Глушкова проспект	Академика Глушкова проспект			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Булаховського вулиця	Академика Булаховского улица			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Булаховського вулиця	Академика Булаховского улица			
Генерала Наумова вулиця	Генерала Наумова улица			
Генерала Наумова вулиця	Генерала Наумова улица			
Академіка Палладіна проспект	Академика Палладина проспект			
Робітнича вулиця	Рабочая улица			
Академіка Єфремова вулиця	Академика Ефремова улица	Командарма Уборевича вулиця	Командарма Уборевича улица	
Академіка Єфремова вулиця	Академика Ефремова улица	Командарма Уборевича вулиця	Командарма Уборевича улица	
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Палладіна проспект	Академика Палладина проспект			
Академіка Єфремова вулиця	Академика Ефремова улица	Командарма Уборевича вулиця	Командарма Уборевича улица	
Академіка Єфремова вулиця	Академика Ефремова улица	Командарма Уборевича вулиця	Командарма Уборевича улица	
Академіка Вернадського бульвар	Академика Вернадского бульвар			
Сільська вулиця	Сельская улица			
Святошинська площа	Святошинская площадь			
Перемоги проспект	Победы проспект			
Перемоги проспект	Победы проспект			
Ямська вулиця	Ямская улица			
Ямська вулиця	Ямская улица			
Івана Федорова вулиця	Ивана Фёдорова улица			
101-а Садова вулиця	101-я Садовая улица			
102-а Садова вулиця	102-я Садовая улица			
Нововокзальна вулиця	Нововокзальная улица			
Чорнобильська вулиця	Чернобыльская улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
В’ячеслава Чорновола вулиця	Вячеслава Черновола улица			
