NameUa	NameRu	OldNameUa	OldNameRu	Lat	Lon
Купувате	Купуватое			51.1568100	30.3610600
Бобер	Бобер			51.1550057	29.5421636
Стещино	Стещино	Стещина		51.1499400	29.7293490
Марківка	Марковка			51.1410100	29.6943300
Калинівка	Калиновка			51.1399800	29.8014510
Городище	Городище			51.1389500	30.3888700
Буда Вовчківська	Буда Волчковская			51.1353110	29.5943890
Нова Марківка	Новая Марковка			51.1351800	29.4883400
Нові Соколи	Новые Соколы			51.1327710	29.8731990
Терехів	Терехов			51.1320361	30.0487259
Андріївка	Андреевка			51.1311071	30.0864678
Пухове	Пухово			51.1320903	29.5419329
Старі Соколи	Старые Соколы			51.1280709	29.9121619
Дубова	Дубовая			51.1272810	29.6627410
Потоки	Потоки			51.1243897	29.9489803
Шевченкове	Шевченково			51.1235010	29.8196390
Шкнева	Шкнева			51.1211010	29.4993190
Дитятки	Дитятки			51.1100160	30.1472070
Стара Марківка	Старая Марковка			51.1180110	29.4615590
Карпилівка	Карпиловка			51.1158030	30.0194190
Губин	Губин			51.1142310	30.2772900
Красилівка	Красиловка			51.1135480	29.8814390
Старий Міст		Петрівське	Петровское	51.1125180	29.7389600
Вовчків	Волчков			51.1080510	29.5535700
Городещина	Городещина			51.1073680	29.6716710
Димарка	Дымарка			51.1059910	29.7702010
Ковалівка	Ковалевка			51.1056520	29.9748190
Міхлівщина	Михлевщина			51.0982210	29.6436500
Рудня-Левківська	Рудня-Левковская			51.0963780	29.7609290
Піски	Пески			51.0899240	30.0237060
Медвин	Медвин			51.0843580	30.3373700
Військове	Войсковое			51.0816190	29.4831910
Стовпне	Столпное			51.0805890	29.5168300
Доманівка	Домановка			51.0798990	29.9779090
Красятичі	Красятичи			51.0782874	29.6377868
Левковичі		Володарка	Володарка	51.0771480	29.6960510
Нові Макалевичі	Новые Макалевичи			51.0768090	29.9140610
Поталіївка	Поталиевка			51.0712430	29.8084750
Страхолісся	Страхолесье			51.0730400	30.3929900
Вересня	Вересня			51.0730400	29.5903000
Горностайпіль	Горностайполь			51.0716590	30.2618410
Степанівка	Степановка			51.0689200	30.0410900
Зорин	Зорин			51.0617100	30.2010710
Мусійки	Мусийки			51.0538100	29.7526890
Лапутьки	Лапутьки			51.0524410	30.2601200
Оране	Ораное			51.0492520	30.1243460
Фрузинівка	Фрунзовка			51.0483210	30.1825290
Лісове	Лесовое	Чапаєве		51.0415230	29.6460690
Войкове	Войково			51.0424800	29.5185500
Хочева	Хочева			51.0387460	30.0896380
Залишани	Залишаны			51.0403370	29.5775360
Пилява	Пилява			51.0335500	30.3099100
Богдани	Богданы			51.0302873	30.2523586
Мала Макарівка	Малая Макаровка			51.0319630	29.9136070
Русаки	Русаки			51.0181470	29.9467950
Ритні	Рытни			51.0269533	30.2034779
Макарівка	Макаровка			51.0215420	29.8601490
Верхолісся	Верхолесье			51.0184520	29.4917700
Буда-Полідарівська	Буда-Полидаровская			51.0174220	29.5624900
Прибірськ	Приборск			51.0139690	30.0276200
Термахівка	Термаховка			51.0155330	29.6955990
Полідарівка	Полидаровка			51.0129510	29.6150210
Жміївка	Жмиевка			51.0105510	29.5216410
